stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,8.17,0,0,0,0,0,0,8.17,4.09,4.09,12.26,0,0,0,98.07,0,0,0,0,0,0,0,4.09,0
72hpf,1.07,2.14,2.14,2.14,0,0,0,0,1.07,6.42,0,3.21,0,1.07,34.23,22.47,1.07,2.14,0,0,3.21,0,0,0,0
21Day,0,10.71,0,4.02,2.68,0,9.37,0,0,2.68,4.02,21.42,0,1.34,20.08,18.74,0,5.35,4.02,0,4.02,2.68,4.02,1.34,2.68
3Month,0,1.92,0,0,0,1.6,0,0.64,0,0.32,0.64,0.32,0,0.32,0,0,0.32,0,0,0.64,0.32,0,0,0,0.96
22Month,0,1.09,0,0,0,0,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0
