stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,1.07,4.28,0,4.28,0,0,0,13.91,10.7,0,0,4.28,0,0,0,0,0,0,0,0
21Day,4.02,2.68,2.68,20.08,2.68,0,1.34,0,0,0,4.02,0,0,1.34,2.68,10.71,2.68,21.42,0,1.34,1.34,5.35,2.68,0,0,6.69,2.68,0,1.34,0,0,0,0,4.02
3Month,0,1.6,0,8.32,0,0.32,0.32,1.6,1.92,0,21.12,1.6,0.32,3.52,0.32,7.68,0.32,6.4,0,0.64,0.96,0,0,0.32,0,0.32,0.64,4.48,0,0,0.32,0.64,2.56,1.6
22Month,0,2.73,2.19,11.48,0,0.55,1.09,4.37,10.93,4.37,83.64,0.55,3.28,14.21,0,2.73,4.92,5.47,14.76,0.55,0,0,0,1.64,0.55,0,0.55,1.64,1.64,0.55,0,0.55,0,2.19
