stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,24.52,12.26,0,0,0,0,12.26,249.27,0,0,4.09,0,0,0,0,0,0
72hpf,2.14,2.14,0,3.21,2.14,0,1.07,0,1.07,0,0,0,0,0,0,5.35,0,7.49,0,0,2.14,0,79.16,24.61,0,0,14.98,0,0,3.21,0,0,0
21Day,2.68,4.02,0,12.05,1.34,0,0,0,0,0,0,0,9.37,1.34,1.34,4.02,9.37,14.72,0,0,5.35,0,52.2,10.71,0,2.68,8.03,2.68,0,4.02,0,0,12.05
3Month,0,2.56,0.32,28.8,0,0,0,1.92,35.83,0,21.44,10.24,4.16,5.12,3.2,9.28,11.2,7.04,0.96,0,3.2,0.64,1.6,0.32,3.2,0.32,0.32,0.64,15.36,0,1.28,2.56,24.32
22Month,0.55,5.47,0,6.56,0,1.09,0,0,39.36,4.92,57.95,2.19,3.28,6.01,0.55,1.09,19.13,9.29,0,0.55,1.09,0,0.55,0,1.09,1.09,0.55,0.55,2.73,0,0.55,0,15.31
