stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,14.98,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0
3Month,0.32,0,9.92,0.96,0,0,3.2,0.64,0.32,1.28,6.08,0.32,4.8,2.24,0.32,0,0,0.32,0.32,0,0.32,0.96
22Month,0.55,0.55,1.09,0,1.09,1.09,5.47,0,0.55,2.19,1.64,1.09,2.19,0,0,0,0,0,0,1.09,0,0.55
