stage,Cardiomyocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Osteoblast
24hpf,0,0,4.09,0,0,0
72hpf,0,1.07,1.07,0,0,1.07
21Day,1.34,0,0,1.34,2.68,1.34
