stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,28.6,0,0,0,8.17,0,0,0,0,0,4.09,61.3,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,1.07,0,0,0,0,0,0,0,0,1.07,3.21,0,0,0,0,5.35,6.42,0,1.07,0,0,0,5.35,1.07,0,0
21Day,0,0,4.02,1.34,0,0,1.34,0,0,0,1.34,0,0,0,2.68,4.02,0,0,0,1.34,1.34,2.68,0,0,0,1.34,1.34,0,0,0
3Month,0,0.96,18.88,0.32,0,0.32,0,10.88,1.92,0,8,4.48,4.16,1.6,3.52,2.24,0.96,0.64,0.64,1.92,0,0.96,0.32,0.32,0.96,16,0.32,0,196.77,2.56
22Month,0,0,8.75,0,0,0,0,8.75,0,0,1.09,0,2.19,0.55,2.73,1.64,0.55,2.19,0.55,0,0,0.55,0,0.55,0,6.56,0,0,0,0
