stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,1.07,3.21,0,0,1.07,46,2.14,5.35
21Day,1.34,4.02,1.34,0,0,6.69,5.35,0
3Month,0,0.32,0,0.64,0,1.6,0,0
22Month,0,0,0,0,0,1.09,0,0
