stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,44.95,0,4.09,0,0,0,0
72hpf,2.14,2.14,0,2.14,0,0,0,0,0,0,0,0,3.21,0,8.56,0,1.07,0,5.35,3.21,0,22.47,0,0,0,0
21Day,0,9.37,0,2.68,1.34,0,0,0,0,0,0,0,2.68,2.68,42.83,1.34,0,1.34,8.03,5.35,0,25.43,2.68,1.34,0,1.34
3Month,0.32,4.16,0.32,0,0.32,0.32,0.32,1.28,3.84,0.32,1.28,0.64,3.84,1.28,6.72,1.92,0,0.64,0.32,0,0.32,0,0,0,0.32,0.64
22Month,0,0,0,0,0,0,0,0.55,4.92,0,0.55,0,0,1.64,1.09,0.55,0,0,0,0,0,0,0,0,0,0
