stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,20.43,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,2.14,2.14,0,0,135.86,9.63,35.3,0,0,1.07,0
21Day,2.68,13.39,2.68,0,0,0,1.34,6.69,5.35,0,1.34,62.91,1.34,17.4,1.34,0,0,0
3Month,0,1.6,0,0,0,0.32,0,0,0.64,0.64,0,0,0,0.64,0,0,0,0.32
22Month,0,0.55,0,0.55,0,5.47,0,0,0,0,0,0,0,1.09,0,0.55,0,0
