stage,Endothelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Radial_glia,T_cell
3Month,0,0,0.32,4.8,0,0.32,0.32
22Month,0.55,1.09,1.09,4.92,0.55,0,0
