stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,24.52,0,0,0,0,0,89.9,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,12.84,4.28,0,0,0,0,0,0,0,0,0,3.21,13.91,1.07,13.91,0,1.07,0,0,123.03,47.07,0,0,19.26,0,0,2.14,0,2.14,0,0,0
21Day,6.69,0,0,36.14,1.34,0,5.35,0,0,0,1.34,0,5.35,2.68,0,18.74,5.35,14.72,0,0,2.68,0,33.46,9.37,0,0,0,4.02,0,4.02,1.34,0,0,0,5.35
3Month,0.64,4.48,0.32,41.91,0,0.64,0,0.32,3.84,7.36,20.8,3.2,1.28,17.28,0.32,16,9.6,6.4,0.96,0,1.92,0.32,1.6,0.64,1.6,0,0,1.28,2.56,0,0,0.64,4.8,0.64,6.4
22Month,0,4.37,1.09,8.2,0,0,0,0,0.55,4.92,13.12,0.55,0.55,2.73,0,1.64,1.64,2.19,0,0.55,1.09,0,0.55,0,0,1.09,0,0,0,0,0,0,0,0,0.55
