stage,Epithelial_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
24hpf,0,8.17,0,0
72hpf,1.07,2.14,2.14,0
21Day,0,2.68,0,0
3Month,0,0,0,0.64
