stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,3.21,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,2.68,1.34,0,0,0,1.34,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0,0.96,0,0.32,1.92,0,0.64,0,0.32,0.32,0.32,0,0.32,0.32,0.96,10.24
22Month,0,0,0,0,1.09,0,0,0.55,0,0,0,0,0,0,0,0
