stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,8.56,1.07,0,0,0,0,0,0,0,2.14,0,0,0
21Day,0,0,1.34,1.34,2.68,1.34,0,0,0,1.34,13.39,1.34,5.35,0,1.34,0,0,4.02,13.39,0,0,0,0,1.34,0,2.68,1.34,5.35,0,0,1.34
3Month,0.32,0.64,0.96,4.48,0,12.16,0.32,8.32,1.28,0,70.39,0.64,0.64,0.32,2.56,0,0.96,107.18,0,0,0.32,0.32,0,0,0.64,16,0.32,0.64,0.64,16.64,0.96
22Month,0,0,1.09,2.73,0,1.64,0,3.28,0.55,0,5.47,0.55,0,1.09,2.19,0,0,1.64,0,0,0.55,0.55,0.55,0,0,2.19,0.55,0,0,0,0
