stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,19.26,4.28,11.77,8.56,10.7,0,0,0,0,0,0,0,0,2.14,0,4.28,37.44,1.07,20.33,0,2.14,2.14,0,3746.41,83.44,0,3.21,42.79,0,0,16.05,737.09,338.05,1.07,0,0
21Day,8.03,0,12.05,1.34,1.34,0,0,0,0,0,0,2.68,0,5.35,1.34,0,6.69,2.68,9.37,0,0,4.02,0,257,18.74,0,0,13.39,8.03,0,0,444.39,50.86,2.68,0,1.34
3Month,0,0,2.24,0,0,0,0,0,0.32,0.32,0,2.56,0.32,0,0.64,1.92,0,0.96,0.96,0.64,0,0,0.32,4.8,0.32,0.32,0,0,0,1.6,0,11.84,0,0.64,0.32,0.32
22Month,0,3.83,1.09,0,0,0.55,1.09,0.55,0,4.37,6.56,67.24,0.55,0,3.28,0.55,0.55,2.19,5.47,0,1.64,0,0,2.19,0,1.64,0.55,0,0.55,4.92,1.64,192.42,0,0,0,0
