stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mt_rich_cell,Neural_progenitor_cell,Oocyte,Radial_glia,Retinal_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0
22Month,0,0.55,2.19,0.55,1.64,0.55,73.8,0.55,2.73,0.55,0.55,7.11,0,0.55,0.55,0.55
