stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,1.07,0,0,0,0,19.26,0,0,0,0,0,0,0,0,5.35,3.21,0,0,0,0,0,5.35,0,0,0,2.14
21Day,8.03,0,1.34,12.05,17.4,0,2.68,0,0,1.34,0,238.26,0,1.34,2.68,5.35,4.02,0,2.68,0,16.06,9.37,0,0,6.69,6.69,0,1.34,2.68,0,0,41.49
3Month,0,0.64,0.96,11.2,0,0.96,0,0.32,4.16,5.44,4.8,30.08,6.4,0,3.52,8,4.8,0,1.28,0.32,0.96,0,1.6,1.92,0.32,0.96,3.84,0,0,1.28,3.2,169.57
22Month,0,0,0,1.09,0,0,0,0,0.55,4.37,0,2.73,0,0,0,1.64,0,0.55,0,0,0,0,0,0,0,0,0.55,0.55,0,0,0,6.01
