stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,4.09,457.68,0,8.17,0,0,0,32.69,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,24.61,1.07,0,0,0,0,0,0,0,3.21,537.04,1.07,3.21,0,0,28.88,13.91,0,0,4.28,0,0,6.42,0,0,0
21Day,5.35,1.34,319.91,5.35,0,0,0,0,2.68,1.34,0,60.23,350.7,1.34,10.71,0,25.43,13.39,6.69,1.34,0,4.02,8.03,0,4.02,1.34,0,0
3Month,0,0.32,72.63,0,0.32,0.64,0,2.88,1.6,0.32,1.6,2.56,1.28,0.96,0.64,0.32,20.16,0,0,0.32,0.64,0,0.64,2.24,0.32,0,0.32,0.32
22Month,0,1.09,12.57,0,0,0.55,0.55,13.12,0,0,0.55,1.64,0,0.55,1.64,0,6.01,0,0,0,0,0,0,1.09,0,0,0,0
