stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,40.86,0,0,0,0,0,8.17,0,0,0,0,53.12,502.63,0,8.17,0,0,0,12.26,0,44.95,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,59.91,1.07,0,0,0,0,0,0,0,0,0,5.35,66.33,0,0,0,1.07,0,2.14,18.19,28.88,1.07,0,2.14,2.14,0,0,0,0,0
21Day,2.68,0,0,263.69,2.68,0,0,2.68,0,0,2.68,0,1.34,0,8.03,6.69,0,4.02,0,0,5.35,0,8.03,6.69,1.34,0,6.69,6.69,0,0,0,0,1.34
3Month,0,0.32,1.28,265.24,0,1.28,10.56,3.52,0,0,13.12,5.12,0.32,25.92,58.23,2.88,2.56,3.84,0.32,0,17.28,4.8,2.24,0,4.16,0,0.96,1.28,9.6,0,1.6,3.52,2.24
22Month,0,1.09,7.11,110.97,0,1.64,24.6,2.73,0.55,0,48.65,1.09,0,48.65,25.69,3.28,1.09,1.64,0,0.55,34.99,1.64,0.55,0,8.2,0.55,0,0,6.56,0.55,0,0,0.55
