stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,21.42,0,0,0,0,0,0,0,4.02,1.34,0,1.34,0,0,0,0
3Month,27.52,0,0.32,0,1.92,2.56,0.96,0.32,12.48,4.16,0,0,0.32,0.96,1.28,0.64
22Month,2.73,0.55,0.55,0.55,1.64,0.55,2.19,0,1.64,2.19,0.55,0,0.55,0,0,0
