stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,40.86,0,0,0,12.26,143.02,0,0,0,0,0,0,0
72hpf,6.42,2.14,0,4.28,1.07,3.21,0,0,0,0,0,0,0,0,5.35,4.28,0,7.49,1.07,0,0,33.16,21.4,3.21,1.07,1.07,2.14,1.07,0,0
21Day,13.39,0,0,33.46,0,4.02,0,5.35,0,0,2.68,0,4.02,1.34,2.68,12.05,0,37.48,0,2.68,0,8.03,13.39,13.39,5.35,0,1.34,1.34,0,1.34
3Month,0,0.64,0,3.84,0,0,0.32,0,1.28,0,13.44,1.92,0,3.2,0,1.6,1.28,1.28,0,0.64,0.32,0,0,0,0.64,0.64,0,0,0.32,2.88
22Month,0,0.55,0.55,3.28,0,0,0,0,0.55,2.73,57.95,0,0,3.83,0,1.09,0.55,2.19,3.28,0,0,0,0,0,0,0,0,0,0,0.55
