stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,0,0,6.42,2.14,289.91,0,0,0,0
21Day,0,0,0,0,0,0,1.34,1.34,0,99.05,0,1.34,0,0
3Month,0.64,0,0.64,0,0,0,0,0,0,0.32,0.96,0,0.32,0.32
22Month,0.55,0,10.39,0.55,0,0.55,0.55,0,0,0,0.55,0,0,0
