stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,24.52,0,0,0,0,0,0,0,0,0,16.35,0,0,4.09,0,0,0,0,4.09,134.85,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,5.35,14.98,1.07,0,0,0,0,0,0,0,1.07,5.35,0,1.07,0,0,0,1.07,181.86,18.19,0,0,5.35,0,1.07,5.35,0,0,0,0
21Day,0,0,0,6.69,14.72,4.02,0,0,0,0,0,0,0,0,4.02,0,6.69,0,0,0,0,46.85,8.03,0,1.34,1.34,1.34,2.68,1.34,1.34,0,0,1.34
3Month,0,1.6,0,70.71,3.2,0,0,1.28,2.24,16.32,2.56,0.32,4.16,12.16,4.48,3.52,3.84,0.64,0.32,0.96,3.2,25.6,0.32,3.52,0,0.96,2.24,133.1,1.92,2.56,1.92,496.24,4.48
22Month,0,0,0.55,32.25,1.64,0,0.55,0,2.19,22.41,0.55,1.64,4.92,2.19,0.55,1.64,2.73,0,1.64,0,0,7.65,0.55,2.19,0,0,0,39.91,0,0.55,0,0.55,1.09
