stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0.32,1.28,0.32,0.64,0.32,0,0,0.64,0.32,0
22Month,0.55,1.09,1.09,0.55,1.64,0.55,3.83,0.55,1.09,1.64,1.09,0.55,0,0.55,0,0.55
