stage,Epithelial_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,0,4.09,0,0
72hpf,0,0,0,1.07
21Day,0,0,2.68,0
3Month,0.32,0,0,1.28
