stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,2.14,6.42,0,4.28,0,0,0,0,59.91,2.14,0,0,3.21,0,0,0,0,0,0,0
21Day,1.34,0,4.02,1.34,1.34,0,0,0,0,1.34,0,1.34,4.02,1.34,10.71,0,0,0,0,82.99,0,0,0,0,0,0,0,1.34,4.02,0,0
3Month,0,0.32,2.24,0,0,0,0.32,0.32,8.64,0.32,0.32,0.32,1.28,0.96,0.32,0.96,0,0,0.32,4.48,0,0.96,0.32,0.64,0.32,4.16,0.32,0,0,0.32,0
22Month,0.55,1.09,4.37,0,0,1.09,2.19,2.19,38.81,1.09,8.2,0,2.19,3.28,4.37,0,0.55,1.09,0,6.01,0,1.64,1.09,0,0.55,12.57,0,0.55,0,0,1.64
