stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0
72hpf,1.07,0,0,0,1.07,1.07,0,1.07,1.07,17.12,6.42,1.07,0,0,2.14
21Day,1.34,5.35,0,0,4.02,0,0,9.37,0,1.34,1.34,2.68,1.34,4.02,0
3Month,0,0.64,0,0.32,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0.55,0.55,6.56,0.55,0,0.55,1.64,0,0,0,0,0,0,1.09
