stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,2.14,0,0,0,0,0,2.14,0,0,0,0,0,0,0
21Day,1.34,0,8.03,5.35,0,0,1.34,0,64.25,0,2.68,0,21.42,4.02,0,2.68,5.35,6.69,1.34,1.34,4.02,0,0,20.08
3Month,0,0,2.88,0,0.32,0,2.24,1.92,0.96,0.32,1.28,0.32,25.28,0.32,0,0,0.64,0.32,0,0,0.96,0.96,0.96,25.6
22Month,0,2.73,1.64,0,1.09,4.37,2.19,0,0,0.55,0.55,0,1.64,0.55,1.09,0,0,0,0,0,0,3.28,0.55,31.16
