stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,2.14,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,1.34,1.34,0,0,0,2.68,1.34,1.34,0,0
3Month,0,1.28,0,0,0.32,1.28,0.32,0.32,0.32,0,0.32,0,0,10.56,10.88,0.32
22Month,0,0,0,0.55,0,2.73,0,0,0,0.55,0,0,0,0,0,0
