stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,1.34,2.68,0,0,0,0,12.05,0,2.68,0,0,0,1.34,0,0,0,0,2.68,0,0,12.05
3Month,0.96,0.32,4.16,0,0.64,0.96,3.84,1.28,4.48,1.28,1.6,4.16,1.6,1.6,0,0.32,0.96,0.96,2.56,0,0.64,0.32,95.02
22Month,0,0,0.55,0,0,1.64,10.39,1.09,0.55,1.64,0,0.55,2.19,0,0,0,0,0,0,0,0,0,7.11
