stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,1.34,0,0,0,0,2.68,2.68,0,0,0,1.34,0,0,0
3Month,0,0.32,6.4,0.32,0,0,0,0.64,0,2.88,1.6,12.48,0.32,10.88,0.64,0,0,0,0,0,0,0,0,0.64,0,0,0.32,1.28
22Month,0.55,0.55,51.39,2.19,0.55,0.55,10.93,1.09,1.09,27.33,2.19,174.93,0,12.03,4.92,0.55,1.09,1.09,0.55,0.55,11.48,0.55,0.55,2.19,0,9.29,0,2.73
