stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,7.49,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,1.92,0.32,0,0.32,3.2,0,1.6,0.32,0.64,0,0,5.12,2.56,0
22Month,0.55,0,0,0,0,0,3.28,0.55,0,0,2.19,0.55,0,0,0,0.55
