stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,0,1.07,2.14,0,0,0,0,0,2.14,0,0,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,0,0,4.02,0,0,2.68,0,2.68,0,0,1.34,0,0,5.35,0,0,1.34,1.34,0,1.34,0,0,0,1.34
3Month,0,1.28,0.32,7.36,0.32,0.64,2.24,0,0,7.04,3.2,0.96,7.36,1.28,2.88,1.92,8.96,1.92,0.32,1.92,2.24,0.64,0,0.32,0.32,0.96,0.96,1.6,1.28,0.32,1.92,1.28,25.92
22Month,0,0,0.55,3.83,0,0,1.09,4.37,0,78.72,1.64,2.19,4.37,0,0,3.83,4.37,0.55,3.28,0.55,0,0,0.55,1.64,1.64,0,0,4.37,1.09,0,0,0,7.11
