stage,Enterocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0
3Month,0,0.64,0,0,0.32,0.32,0.96,0,0.64
22Month,0.55,1.09,1.64,0.55,0,0,0,0,0
