stage,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,1.34,0,0,0,1.34,0,1.34,0,0,1.34,1.34,1.34,0,0
3Month,0,0.32,0.96,0.32,0,0,0.32,0,0.32,0,0,10.88,0,0.32,9.92
