stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0
3Month,0.32,0.32,0.32,1.28,0,0.32,0,0,0,0,0,0.32,0.32,0.64,0.32
22Month,0,0.55,0,1.64,0.55,0,0,0.55,0.55,0,0.55,0.55,0,0,0
