stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,20.43,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,0,3.21,2.14,0,0,0,0,0,0,0,0,0,6.42,0,0,23.54,28.88,0,2.14,0,0,1.07,0,0,0
21Day,1.34,1.34,2.68,6.69,8.03,1.34,0,0,0,0,2.68,0,1.34,4.02,8.03,0,2.68,5.35,10.71,0,1.34,0,0,1.34,0,0,1.34
3Month,0,0,0,0.32,0,0,0,0,0,0.64,0,0.64,0,0,0,0,0,0,0,0,0,0.96,0,0,0.32,0.32,0.32
22Month,0,1.64,0,3.83,0,0,1.09,0.55,13.12,1.09,0,13.12,0,0.55,1.09,1.09,0,0,0,0.55,0,1.64,0.55,0,0.55,0,0.55
