stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,8.17,4.09,0,0,8.17,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,1.07,0,1.07,0
21Day,0,0,0,1.34,0,0,10.71,0,0,1.34,1.34,1.34,0,1.34
3Month,1.6,0.32,0.64,0,0.64,0.32,9.92,0.64,0.32,0,0,0,0,2.56
22Month,0,0,2.19,0,0,1.09,4.37,0,0,0,0,0,0,0.55
