stage,Cardiomyocyte,Endothelial.cell,Epithelial.cell,Erythrocyte,Granulocyte,Hepatocyte,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Mt.rich.cell,Muscle.cell,Neural.cell,Neural.progenitor.cell,Oligodendrocyte,Osteoblast,Pancreatic.cell,Primordial.germ.cell,Retinal.cell,Retinal.cone.cell,Retinal.pigment.epithelial.cell
24hpf,890.836196881338,0,4.08640457285017,0,0,0,0,0,0,0,0,32.6912365828014,0,0,0,0,306.480342963763,0,4.08640457285017,0,0,0,0,8.17280914570035
72hpf,96.281202731947,0,0,0,0,0,1.06979114146608,0,0,3.20937342439823,3.20937342439823,0,0,1.06979114146608,2.13958228293216,11.7677025561269,8.55832913172862,1.06979114146608,34.2333165269145,0,0,0,0,1.06979114146608
21Day,54.8798566163356,0,4.01559926460992,1.33853308820331,0,1.33853308820331,1.33853308820331,1.33853308820331,0,2.67706617640661,1.33853308820331,9.36973161742315,0,0,0,10.7082647056265,5.35413235281323,0,4.01559926460992,0,0,1.33853308820331,1.33853308820331,0
3Month,0.639898599108391,0.639898599108391,0.319949299554195,0,0.319949299554195,0.959847898662586,0,0,0.319949299554195,0.319949299554195,0.319949299554195,0.319949299554195,0.319949299554195,0,0,0.319949299554195,0,0,0,0.319949299554195,0,0,0,0
22Month,0,0,0,0,0,2.18661860478973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09330930239487,0,0,0
