stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,4.09,12.26,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,11.77,0,10.7,6.42,8.56,0,0,0,0,0,0,1.07,19.26,2.14,8.56,0,3.21,1146.82,49.21,2.14,25.67,9.63,0,1.07,47.07,1.07,3.21,0,0,0
21Day,2.68,1.34,5.35,2.68,9.37,0,0,0,0,4.02,0,1.34,6.69,1.34,14.72,0,4.02,310.54,16.06,0,14.72,6.69,9.37,2.68,24.09,0,1.34,0,0,0
3Month,0,0.64,2.24,0.32,0,0,0,2.56,0,0,0.96,0,0.64,0.32,0.32,0.64,0.32,2.24,0,0.96,0.32,0,0,0.64,0,0.32,0,0,1.6,0.32
22Month,0,0,2.73,0,0,0.55,0.55,9.29,0.55,0,0.55,0,0,0,0,0,0.55,5.47,0.55,2.19,0,0,0,9.84,1.09,0,0,0.55,0,0.55
