stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0.64,4.16,0.32,1.6,0,0,73.59,1.6,0,7.04,0.96,0.64,1.6,2.24,0,0.32,1.28,0,0.96,0,0.64,0.32,0.32,0.32,0.64
22Month,0,0,0,0,0.55,0.55,1.09,35.53,0.55,0.55,2.73,0,0.55,0.55,0.55,1.09,0,0,0,0.55,0,0,0,0,0,0
