stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,0,1.07,1.07,0,0,0,0
21Day,2.68,0,1.34,0,0,13.39,0,8.03,0,0,0,1.34,0,0,0,2.68,0,1.34,2.68,0,0
3Month,0.96,0.32,0,0.32,0.64,47.99,0.96,8,0.32,1.28,0.32,0,0.32,0,0.32,0,0,0,0.64,0.32,0.32
22Month,0,0,0,0,0,5.47,0,4.92,0,0,0,0.55,0,0,0,0,0,0,0,0.55,0
