stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,12.26,0,0,0,0,4.09,85.81,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,1.07,0,0,1.07,0,0,0,0,0,0,0,7.49,5.35,0,5.35,0,3.21,0,0,10.7,33.16,0,0,3.21,1.07,0,0,0,1.07,0,0
21Day,18.74,1.34,0,57.56,1.34,8.03,0,9.37,0,0,0,6.69,1.34,12.05,1.34,1.34,22.76,10.71,36.14,0,0,5.35,0,9.37,28.11,0,1.34,12.05,9.37,0,2.68,1.34,0,0,1.34
3Month,0,0,1.28,6.4,0,0,0.32,0.32,0.32,0.96,0,53.11,1.28,0,8.96,0.96,1.6,1.92,2.56,1.28,0.32,0,1.28,0,0,0,0.32,0,0.96,5.12,0,0,0,0.64,1.92
22Month,0.55,0,2.19,4.37,0,0,0.55,1.09,0.55,7.65,2.19,123,0.55,2.73,17.49,0,1.09,8.75,4.92,0,3.28,0.55,0,0.55,0,1.09,0,0,0.55,0.55,0,0,0.55,0,1.09
