stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,32.69,4.09,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,130.76,40.86,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,1.07,0,4.28,2.14,1.07,0,0,0,0,0,0,0,3.21,8.56,0,12.84,0,1.07,0,0,27.81,10.7,0,0,11.77,0,0,1.07,0,11.77,0,0,0
21Day,1.34,1.34,0,14.72,2.68,0,0,0,0,0,1.34,0,0,1.34,4.02,2.68,17.4,0,0,1.34,0,12.05,5.35,0,0,12.05,1.34,0,0,1.34,5.35,0,0,0
3Month,0.32,1.6,0.32,35.19,0.32,0,0.64,19.84,1.92,0.32,14.72,0.64,5.76,1.6,6.4,1.6,9.28,1.92,0,2.88,2.24,2.24,0,0.32,0,0.64,0,5.12,0.32,0,0.64,5.44,6.08,0.64
22Month,0,0.55,1.64,4.37,0,0,0.55,5.47,0,4.37,43.73,0.55,1.64,0,0,0.55,4.37,0.55,1.09,1.64,0,1.64,0,0,0.55,0,0.55,1.64,0,0,0,1.09,0,1.09
