stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,4.09,61.3,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,4.28,0,1.07,0,0,0,0,0,0,0,0,0,0,0,5.35,0,24.61,0,0,1.07,6.42,14.98,0,0,23.54,0,0,4.28,0,1.07,0,0,0
21Day,8.03,1.34,0,4.02,1.34,1.34,0,1.34,0,0,0,0,0,0,0,0,0,2.68,1.34,62.91,0,0,12.05,4.02,4.02,0,0,12.05,1.34,0,8.03,1.34,0,0,0,0
3Month,0,7.04,0.64,16.32,0.32,0,0.32,0,0,0.64,3.52,0,10.88,1.28,0.32,2.24,3.52,13.12,0.64,49.91,9.92,0,3.52,0.64,0.64,0.96,0.64,1.92,1.92,20.8,0.32,0,0,4.8,353.86,0.96
22Month,0.55,6.56,0,9.84,0,0,0,0,0.55,0,3.28,9.29,19.13,1.09,0.55,2.19,0,2.19,0.55,44.83,0.55,1.09,1.64,0.55,0,0,1.64,0.55,0,2.19,0,0,0.55,1.09,0,0.55
