stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,12.26,0,0,4.09,73.56,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,4.28,1.07,0,0,0,0,0,0,2.14,0,1.07,3.21,0,2.14,0,0,23.54,9.63,0,2.14,0,0,0,0,0
21Day,4.02,0,0,1.34,2.68,0,1.34,0,0,0,0,1.34,0,0,0,1.34,8.03,0,0,9.37,4.02,0,1.34,1.34,2.68,0,0,0
3Month,0,0,0.32,4.8,0,0.32,0,1.28,2.56,1.6,0.32,0.32,0.32,0.32,0.64,0.64,0.64,0.96,0.32,0.64,0.32,0.32,0,6.4,0,0.96,5.44,0.32
22Month,0,0,0,0.55,0,0,0,0.55,0,4.92,0,0.55,2.73,0,0,0,0.55,0,0,0,0,0,0,3.28,0,0,0,0
