stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,7.49,23.54,0,0,0,0,0,0,0,0,0,0,0,0,20.33,0,2.14,0,0,0,11.77,2.14,0,1.07,0,2.14,0,1.07,0,0,0,0,0,0
21Day,0,0,0,20.08,25.43,2.68,0,1.34,0,0,0,0,0,0,4.02,0,1.34,9.37,0,4.02,0,0,0,14.72,1.34,0,0,0,1.34,1.34,4.02,1.34,0,1.34,0,1.34,1.34
3Month,0.32,1.6,0.96,76.79,2.88,0,0.96,0.32,0.32,5.76,8,0,54.07,9.92,0.64,17.28,8.32,8.32,5.76,7.04,1.28,4.16,3.84,2.24,0.32,1.28,1.92,0,0.64,4.48,111.34,0.96,0.32,1.6,3.52,2037.12,7.36
22Month,0,0,0.55,33.89,0,0,0.55,0,0,0,0.55,0.55,8.75,0.55,0,0.55,0,0,1.09,0,0,0.55,0.55,0.55,0,1.64,0,0.55,0,0,41.55,0,0,0,0.55,4.92,0.55
