stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,1.07,1.07,4.28,0,0,0,0,1.07,1.07,0,0,0,0
21Day,0,0,2.68,1.34,0,0,0,0,0,1.34,0,0,0,5.35,2.68,0,1.34,0,0,1.34,0,0,0,2.68
3Month,0.32,0,3.52,0,0,0.32,1.92,2.56,4.8,0.64,0.64,0.32,0.32,16.32,0.64,0.64,0,0.64,0,0.32,0,0.64,0.32,9.6
22Month,0,0.55,1.64,0,0.55,0.55,1.09,8.75,1.09,0.55,2.19,0,1.64,28.97,2.73,0,0.55,0,0,0,0.55,2.19,0,9.29
