stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,4.09,93.99,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,1.07,0,0,0,0,3.21,0,0,0,0,8.56,6.42,0,1.07,2.14,0,0,0,0,0,0
21Day,2.68,0,0,6.69,0,5.35,0,0,0,0,0,0,1.34,0,4.02,1.34,1.34,0,0,0,0,6.69,5.35,0,1.34,1.34,2.68,0,0,0,0,0
3Month,0,1.92,0.64,18.24,0.96,1.28,2.24,2.88,0,53.75,5.76,1.92,8.64,0.64,6.72,7.68,4.48,1.28,0,1.6,0.64,0.64,0,0.64,0.96,0,2.88,13.76,0.32,1.28,2.24,3.84
22Month,0,1.64,1.09,3.83,0,0,1.09,1.64,1.09,43.73,2.19,1.64,4.92,0,1.09,3.28,3.28,0,1.09,0.55,0,0,0,0,1.09,0,0.55,3.28,0.55,0,0,0
