stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0
3Month,0,0.96,0.32,0.32,0.32,0.32,0,0,1.92,0.64,0.32,0.32,0.32,18.88,0.32,0,0,0,0.64,0.96,0,0,0.64,0
22Month,1.09,76.53,0.55,0,2.19,8.75,3.28,0,14.21,1.64,2.19,0,1.64,1056.68,0.55,1.64,0.55,0.55,0,0,0.55,1.09,0,2.73
