stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Primordial_germ_cell,T_cell
72hpf,2.14,0,0,0,0,0,0,0,6.42,0,0,0
21Day,18.74,0,0,0,0,0,1.34,2.68,2.68,1.34,0,0
3Month,1.92,0.32,0.32,0.32,0.32,0.32,0,0,0.64,0,2.56,0.64
