stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,8.17,0,8.17,0,0,0,0,0,4.09,16.35,36.78,0,0,4.09,61.3,4.09,16.35,0,0,0
72hpf,2.14,0,1.07,1.07,0,0,0,0,0,0,0,1.07,1.07,0,0,6.42,3.21,0,5.35,0,0,0
21Day,0,0,0,0,0,1.34,0,0,2.68,0,0,2.68,5.35,0,0,2.68,0,0,13.39,0,0,0
3Month,0.32,0,0.64,0,0,0.32,0,0.64,0,0.32,0,0.32,2.56,0.64,0.32,0,0,0,0,3.84,0.32,0.32
22Month,0.55,0.55,0,0,0,1.09,1.09,0.55,0,0,0,0.55,0.55,0,0,0,0,0,0,1.09,0,0
