stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,9.63,0,0,0,1.07,0,0,0,0,0
21Day,12.05,0,0,0,0,0,0,0,2.68,0,0,0,0,0,2.68,1.34,0,0
3Month,9.28,0.32,0.64,0,0.64,0.32,4.8,0.96,0.64,0.32,0.32,0.64,0,0.32,0,0.64,0.32,0.32
22Month,1.09,0,0,0,1.09,0,3.83,0,0,0,0,0,0,0,0,0,0.55,0.55
