stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,3.21,1.07,1.07,0,0,0,0,0,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,33.46,0,0,0,0,0,0,0,0,1.34,1.34,8.03,4.02,2.68,0,0,8.03,0,1.34,1.34,1.34,0,1.34,1.34,0,0,0,0,0,2.68
3Month,0.32,0.32,85.11,0.32,0.64,0.64,2.24,0,6.08,2.24,0.32,3.52,35.51,14.4,11.52,2.88,0.96,0,38.39,1.6,1.92,0.96,21.44,0.32,0.32,0.32,2.24,0.96,0,1.6,0.64,27.52
22Month,0.55,1.64,100.58,0,0,1.09,2.73,0.55,19.13,2.19,2.73,3.83,10.39,6.01,7.11,4.37,0,1.64,56.85,0,1.09,0,23.51,0,0,2.19,0,0,1.09,0.55,0,59.04
