stage,Cardiomyocyte,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Neural_progenitor_cell
24hpf,0,0,0,0,4.09
72hpf,0,0,0,1.07,0
3Month,0.32,3.52,0.64,0,0
