stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,20.43,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,8.17,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,5.35,16.05,0,1.07,0,2.14,0,0,6.42,4.28,0,0,0,5.35,0,0,1.07,0,0,0,0
21Day,0,1.34,6.69,0,2.68,0,0,0,0,0,0,1.34,0,0,0,1.34,0,4.02,0,0,1.34,0,0,2.68,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.96,1.28,19.52,0,0,0.64,0,4.8,0.96,0,0,12.16,0.64,14.4,0.32,3.84,2.56,1.28,0.32,0,0.64,11.84,0.64,0,2.56,1.6,0,0,1.28,10.56,0.32,0.32,0,0.96,0
22Month,0.55,3.28,16.95,0,0,0.55,0.55,3.28,3.83,1.64,0,62.32,0,48.11,0,2.73,1.64,2.73,0,2.19,0,0.55,0.55,0,2.19,0,9.29,0,1.09,8.75,0.55,0,0.55,0.55,2.19
