stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,6.42,0,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,1.34,0,1.34,0,12.05,5.35,0,0,1.34,6.69
3Month,0,0,0,0,0.64,0,0,0,0,0.64,0,0,0,0,0,0,0
22Month,0.55,1.09,0.55,0,10.39,0.55,1.09,0,1.09,3.83,0.55,0,0,0,0.55,0,0
