stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,0,2.68,0,0,0,0
3Month,0.64,0.32,0,0,1.28,0,0.96,0,0,0,0,0,0,0,0,0.32,0
22Month,2.73,0,0.55,0.55,27.88,1.09,1.09,0.55,1.64,1.09,0.55,0.55,0,1.64,0.55,0.55,0.55
