stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,44.95,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,28.6,0,0,0,0,4.09,114.42,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,19.26,0,46,1.07,3.21,0,0,0,0,0,0,0,0,0,1.07,55.63,1.07,136.93,0,0,14.98,0,86.65,24.61,1.07,5.35,0,161.54,0,0,1.07,0,2.14,0,0,0
21Day,48.19,1.34,33.46,1.34,4.02,0,0,0,0,1.34,0,0,2.68,0,1.34,4.02,1.34,222.2,0,1.34,45.51,0,34.8,9.37,0,4.02,0,17.4,8.03,0,0,1.34,2.68,0,0,0
3Month,0,1.92,27.52,0.64,0,0.64,0.32,1.92,10.56,0,7.36,4.48,2.24,3.52,1.6,8.32,13.44,7.36,0.96,0,1.28,0.32,2.56,0.64,2.24,1.28,0,0,1.92,12.48,0.96,0,0.64,0.96,0.96,9.6
22Month,0,0.55,8.75,0,0,0,0,1.64,12.57,11.48,29.52,0.55,1.64,3.83,0,1.09,13.12,5.47,0,0.55,0.55,0,1.09,0,1.09,9.29,1.09,0,0,5.47,6.56,1.09,0,0,0,4.92
