stage,Cardiomyocyte,Endothelial.cell,Enterocyte,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Erythrocyte..Liver.,Erythroid.progenitor.cell,Goblet.cell,Granulocyte,Granulosa.cell,Hatching.gland,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Mt.rich.cell,Muscle.cell,Nephron.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic.cell,Primordial.germ.cell,Radial.glia,Retinal.cell,Retinal.cone.cell,Retinal.pigment.epithelial.cell,Smooth.muscle.cell,Spermatocyte,T.cell
24hpf,4.08640457285017,12.2592137185505,0,4.08640457285017,0,4.08640457285017,0,0,0,0,0,53.1232594470523,0,0,0,0,0,4.08640457285017,77.6416868841533,0,0,0,0,0,53.1232594470523,187.974610351108,0,0,0,4.08640457285017,0,0,0,0,0,4.08640457285017,0,0,0
72hpf,40.652063375711,23.5354051122537,0,33.1635253854484,22.4656139707876,33.1635253854484,0,1.06979114146608,0,1.06979114146608,0,0,1.06979114146608,0,0,0,13.907284839059,94.1416204490149,6.41874684879647,49.2103925074396,0,6.41874684879647,7.48853799026255,0,6279.67400040588,350.891494400874,72.7457976196933,36.3728988098467,0,108.048905288074,11.7677025561269,0,44.9312279415753,149.770759805251,130.514519258862,8.55832913172862,0,0,0
21Day,33.4633272050827,12.0467977938298,4.01559926460992,97.7129154388414,32.1247941168794,49.5257242635224,0,13.3853308820331,2.67706617640661,1.33853308820331,0,0,17.400930146643,4.01559926460992,32.1247941168794,16.0623970584397,4.01559926460992,42.8330588225058,16.0623970584397,206.134095583309,0,2.67706617640661,48.1871911753191,0,1750.80127936993,143.223040437754,74.9578529393852,26.7706617640661,0,120.467977938298,61.5725220573521,18.7394632348463,24.0935955876595,513.99670587007,1872.60779039643,17.400930146643,0,0,18.7394632348463
3Month,1.27979719821678,3.51944229509615,0.639898599108391,41.9133582415996,13.7578198808304,0,1.59974649777098,0.319949299554195,8.63863108796328,7.67878318930069,0,0,430.971706499501,6.39898599108391,2.23964509687937,94.3850433684877,3.19949299554195,8.31868178840908,7.35883388974649,39.353763845166,9.59847898662586,0.959847898662586,7.67878318930069,3.51944229509615,23.0363495679021,3.19949299554195,115.18174783951,4.79923949331293,0,0.959847898662586,4.15934089420454,28.4754876603234,4.47929019375874,2.23964509687937,1.59974649777098,4.47929019375874,1.27979719821678,15.0376170790472,4.47929019375874
22Month,0.546654651197433,9.29312907035637,2.73327325598717,38.8124802350178,8.74647441915893,0,2.73327325598717,0,3.82658255838203,18.0396034895153,4.37323720957947,0,1086.2027919293,7.10651046556663,6.01320116317177,53.025501166151,1.09330930239487,4.9198918607769,20.226222094305,119.17071396104,3.82658255838203,33.3459337230434,4.9198918607769,0,29.5193511646614,3.82658255838203,108.237620937092,12.573056977541,1.09330930239487,3.2799279071846,4.37323720957947,43.7323720957947,47.0123000029793,130.103806984989,1.09330930239487,2.73327325598717,2.73327325598717,0,4.37323720957947
