stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,93.07,3.21,0,4.28,0,0,5.35,6.42,21.4,9.63,0,0,0
21Day,1.34,0,1.34,1.34,2.68,4.02,0,0,0,0,1.34,1.34,0,1.34,1.34,5.35,0,0,70.94,5.35,0,5.35,0,0,12.05,41.49,234.24,14.72,0,0,0
3Month,0.32,0.32,0,0.96,0,0,0.32,0.96,1.28,0,0,1.6,0,0.32,0,0,0.32,0,4.16,0,0,0.32,0.32,0.32,3.2,0.64,0,0.64,0.32,0.32,0.32
22Month,0,0,0,1.09,0,0,0,0.55,9.29,0.55,0,3.83,0,0.55,0.55,1.64,0,0.55,3.28,0.55,0.55,0.55,0,0,19.68,1.09,0,0,0,0,0.55
