stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
72hpf,1.07,0,0,0,0,0,1.07,4.28,2.14,1.07,0,0
21Day,1.34,0,1.34,0,1.34,2.68,4.02,5.35,1.34,6.69,0,1.34
3Month,0,0.32,0,0.32,0,0,0,0,0,0,0.32,0
