stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,0,1.07,2.14,0,2.14,0,4.28,0,0,3.21,2.14,0,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,5.35,1.34,0,0,0,0
3Month,0.32,1.6,0.32,245.08,0,0.96,3.2,5.12,0,0,162.85,7.04,13.76,9.28,6.4,3.84,10.24,3.2,0.64,3.84,9.92,0.64,0,2.24,1.28,0,0.32,5.12,307.79,0.64,0,1.92,801.47,2.88
22Month,0,0.55,2.19,36.63,0,0.55,0.55,3.83,1.09,0,231.23,1.09,2.73,1.64,0.55,0.55,5.47,0,13.67,1.64,1.09,0.55,0,0.55,1.64,0.55,0,0,9.29,0,0.55,0,0.55,0.55
