stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,1.07,3.21,0,4.28,0,0,0,0,3.21,5.35,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,1.34,12.05,0,0,2.68,0,0,0
3Month,0,0.64,8.96,1.28,2.24,0,14.08,2.56,0.64,4.48,0.32,3.52,4.8,3.52,0.96,0,1.6,0.64,0,0.32,0.32,0,0,0.32,147.18,0.32,0,0,1.6,49.27,2.56
22Month,3.83,0.55,7.11,0.55,4.92,3.28,108.24,1.09,1.64,9.29,0.55,1.09,5.47,10.39,0.55,3.83,2.19,0,0.55,0,0.55,1.64,0.55,0,19.13,1.09,0.55,0,0.55,0.55,2.73
